03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(10000)_test_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(10000)_train_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(10000)_loss,03-21_190052_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_test_acc,03-21_190052_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_train_acc,03-21_190052_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_loss,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(30000)_test_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(30000)_train_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(30000)_loss,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(20000)_test_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(20000)_train_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(20000)_loss,03-21_204649_two_layer_512_ReLU_256_ReLU_L2(True)_LR(0.0002)_BS(10)_test_acc,03-21_204649_two_layer_512_ReLU_256_ReLU_L2(True)_LR(0.0002)_BS(10)_train_acc,03-21_204649_two_layer_512_ReLU_256_ReLU_L2(True)_LR(0.0002)_BS(10)_loss,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_test_acc,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_train_acc,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_loss,03-29_032552_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.002)_BS(50)_test_acc,03-29_032552_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.002)_BS(50)_train_acc,03-29_032552_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.002)_BS(50)_loss,03-21_190052_two_layer_128_TanH_128_TanH_L2(False)_LR(0.0002)_BS(10)_test_acc,03-21_190052_two_layer_128_TanH_128_TanH_L2(False)_LR(0.0002)_BS(10)_train_acc,03-21_190052_two_layer_128_TanH_128_TanH_L2(False)_LR(0.0002)_BS(10)_loss,03-21_200130_one_layer_128_TanH_L2(False)_LR(0.0002)_BS(10)_test_acc,03-21_200130_one_layer_128_TanH_L2(False)_LR(0.0002)_BS(10)_train_acc,03-21_200130_one_layer_128_TanH_L2(False)_LR(0.0002)_BS(10)_loss,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(250)_test_acc,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(250)_train_acc,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(250)_loss,03-29_031511_two_layer_128_Signmoid_128_Signmoid_L2(True)_LR(0.0002)_BS(50)_test_acc,03-29_031511_two_layer_128_Signmoid_128_Signmoid_L2(True)_LR(0.0002)_BS(50)_train_acc,03-29_031511_two_layer_128_Signmoid_128_Signmoid_L2(True)_LR(0.0002)_BS(50)_loss,03-22_014532_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_test_acc,03-22_014532_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_train_acc,03-22_014532_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_loss,03-29_033047_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.002)_BS(50)_test_acc,03-29_033047_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.002)_BS(50)_train_acc,03-29_033047_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.002)_BS(50)_loss,03-29_023816_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_test_acc,03-29_023816_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_train_acc,03-29_023816_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_loss,03-29_034108_one_layer_256_ReLU_L2(True)_LR(0.002)_BS(50)_test_acc,03-29_034108_one_layer_256_ReLU_L2(True)_LR(0.002)_BS(50)_train_acc,03-29_034108_one_layer_256_ReLU_L2(True)_LR(0.002)_BS(50)_loss,03-22_170733_two_layer_128_ReLU_128_ReLU_L2(False)_LR(0.0002)_BS(10)_test_acc,03-22_170733_two_layer_128_ReLU_128_ReLU_L2(False)_LR(0.0002)_BS(10)_train_acc,03-22_170733_two_layer_128_ReLU_128_ReLU_L2(False)_LR(0.0002)_BS(10)_loss,03-29_020714_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_test_acc,03-29_020714_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_train_acc,03-29_020714_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_loss,03-22_170302_one_layer_128_ReLU_L2(False)_LR(0.0002)_BS(10)_test_acc,03-22_170302_one_layer_128_ReLU_L2(False)_LR(0.0002)_BS(10)_train_acc,03-22_170302_one_layer_128_ReLU_L2(False)_LR(0.0002)_BS(10)_loss,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(40000)_test_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(40000)_train_acc,03-21_221051_two_layer_256_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(10)_n_train(40000)_loss,03-21_202026_no_layer_L2(False)_LR(0.0002)_BS(10)_test_acc,03-21_202026_no_layer_L2(False)_LR(0.0002)_BS(10)_train_acc,03-21_202026_no_layer_L2(False)_LR(0.0002)_BS(10)_loss,03-21_190052_two_layer_128_ReLU_128_ReLU_L2(False)_LR(0.0002)_BS(10)_test_acc,03-21_190052_two_layer_128_ReLU_128_ReLU_L2(False)_LR(0.0002)_BS(10)_train_acc,03-21_190052_two_layer_128_ReLU_128_ReLU_L2(False)_LR(0.0002)_BS(10)_loss,03-21_190052_two_layer_128_Signmoid_128_Signmoid_L2(False)_LR(0.0002)_BS(10)_test_acc,03-21_190052_two_layer_128_Signmoid_128_Signmoid_L2(False)_LR(0.0002)_BS(10)_train_acc,03-21_190052_two_layer_128_Signmoid_128_Signmoid_L2(False)_LR(0.0002)_BS(10)_loss,03-21_214424_two_layer_512_ReLU_256_ReLU_L2(True)_LR(0.0002)_BS(10)_test_acc,03-21_214424_two_layer_512_ReLU_256_ReLU_L2(True)_LR(0.0002)_BS(10)_train_acc,03-21_214424_two_layer_512_ReLU_256_ReLU_L2(True)_LR(0.0002)_BS(10)_loss,03-21_200130_one_layer_128_ReLU_L2(False)_LR(0.0002)_BS(10)_test_acc,03-21_200130_one_layer_128_ReLU_L2(False)_LR(0.0002)_BS(10)_train_acc,03-21_200130_one_layer_128_ReLU_L2(False)_LR(0.0002)_BS(10)_loss,03-29_033813_one_layer_128_ReLU_L2(True)_LR(0.002)_BS(50)_test_acc,03-29_033813_one_layer_128_ReLU_L2(True)_LR(0.002)_BS(50)_train_acc,03-29_033813_one_layer_128_ReLU_L2(True)_LR(0.002)_BS(50)_loss,03-29_032059_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_test_acc,03-29_032059_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_train_acc,03-29_032059_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_loss,03-22_020846_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_test_acc,03-22_020846_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_train_acc,03-22_020846_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_loss,03-29_034540_one_layer_256_Signmoid_L2(True)_LR(0.002)_BS(50)_test_acc,03-29_034540_one_layer_256_Signmoid_L2(True)_LR(0.002)_BS(50)_train_acc,03-29_034540_one_layer_256_Signmoid_L2(True)_LR(0.002)_BS(50)_loss,03-29_012840_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_test_acc,03-29_012840_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_train_acc,03-29_012840_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(50)_loss,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(500)_test_acc,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(500)_train_acc,03-22_021227_two_layer_128_ReLU_128_ReLU_L2(True)_LR(0.0002)_BS(500)_loss
70.53,71.45,3.6859878024610335,87.69,87.02666666666667,2.2798741639411984,83.3,82.83666666666667,3.171766996504427,81.21,79.93,3.398235470388841,88.67,88.155,4.348056306662785,87.81,87.50833333333334,1.2199382142715687,91.76,91.82833333333333,0.5906542438791049,89.19,88.48833333333333,0.7115151929505936,88.54,87.92666666666666,0.45942062353758767,87.71,87.28833333333333,0.9447721323914019,38.2,37.82333333333333,2.525025518853487,83.9,75.87033333333333,2.473145734260558,91.78,91.58666666666667,0.583021920527142,88.11,87.29166666666667,1.0837393054110545,91.62,91.43166666666667,0.5568489123229807,87.49,87.11333333333333,0.8893509044447313,88.11,87.29166666666667,1.0837393054110545,87.3,86.56833333333333,0.9633317575798489,85.83,85.2825,3.0198423155387673,87.19,86.36333333333333,0.9805903739152865,9.8,9.871666666666666,,19.43,18.861666666666668,2.2739350900994015,88.67,88.155,4.348056306662785,9.8,9.871666666666666,,91.97,91.615,0.4860825065785082,88.34,87.79333333333334,1.122432265294034,87.81,87.50833333333334,0.8600477190848763,89.43,89.09333333333333,0.8773823509844226,87.81,87.50833333333334,0.8600477190848763,87.79,87.48,0.7157913186057694
79.25,80.14,3.0365154462038753,90.06,89.49833333333333,1.5627157914645018,87.62,87.35,2.518257197213088,86.8,86.12,2.4336728018886613,90.55,90.05,3.3114260126285306,90.22,89.96,0.6790850112940855,91.55,91.48,0.47967012571161266,90.47,90.185,0.4430836110676743,89.77,89.37166666666667,0.3717828212935787,90.37,90.02166666666666,0.44060094485386014,50.45,49.81666666666667,2.4227692837365065,84.05,76.96533333333333,1.5451169985077544,91.98,92.18,0.5268608861846963,90.32,89.72666666666667,0.7439668400958458,92.35,92.26166666666667,0.5215427247366345,89.88,89.56833333333333,0.3400767143858054,90.32,89.72666666666667,0.7439668400958458,89.59,88.73833333333333,0.4522342104262851,89.37,88.7775,2.3608249260961265,88.67,87.84,0.581110039984835,9.8,9.871666666666666,,36.01,36.575,2.24222377112653,90.55,90.05,3.3114260126285306,9.8,9.871666666666666,,92.52,92.38,0.4392731890716162,90.35,89.76,0.6228424726859212,90.22,89.96,0.6755079825608084,90.6,90.34166666666667,0.6655511685444523,90.22,89.96,0.6755079825608084,90.44,89.81833333333333,0.4393568837722769
83.97,84.89,2.6623395124663265,90.77,90.32666666666667,1.3783982300324071,89.09,89.03666666666666,2.177666002547178,88.36,88.01,2.3155094764991975,91.26,90.75666666666666,2.772345746986552,90.37,90.13166666666666,0.6297792099820444,91.98,92.3,0.5364546326846431,90.93,90.63833333333334,0.29424582461582666,90.52,90.175,0.3831887996997508,90.49,90.27166666666666,0.41726346013076965,60.06,59.60666666666667,2.2251221581854193,84.2,77.03933333333333,1.369635725859499,92.48,92.21333333333334,0.5364431406897539,91.15,90.65833333333333,0.4878468352088402,92.66,92.425,0.4865652420268957,90.06,89.73,0.32271977505839894,91.15,90.65833333333333,0.4878468352088402,89.77,88.84833333333333,0.3524950308817732,90.29,90.04,1.9511235647423262,89.22,88.515,0.49027422435672413,9.8,9.871666666666666,,46.74,46.24333333333333,2.167030517208849,91.26,90.75666666666666,2.772345746986552,9.8,9.871666666666666,,91.69,91.725,0.46716914092114287,91.55,90.85333333333334,0.6094956346621001,90.37,90.13166666666666,0.5064322170550268,91.21,90.75833333333334,0.61032706646521,91.1,90.87833333333333,0.4795925375371393,90.55,90.065,0.3876017410917648
85.98,86.71,2.3553709895779353,90.88,90.465,1.3694885594968487,89.98,89.73666666666666,1.9837062416099505,89.35,89.055,2.3473842953414623,91.6,91.175,2.2747271559764237,90.5,90.22666666666667,0.6227286678334992,91.77,91.435,0.5011790320922034,91.11,90.82166666666667,0.34903695751022745,91.69,91.41833333333334,0.309498693197717,90.68,90.40833333333333,0.3797546704262284,64.83,63.9,1.8095919441154924,83.3,76.61966666666666,1.2918261348325475,92.3,92.30666666666667,0.5208323283797243,91.7,91.17833333333333,0.655651343737287,92.7,92.52333333333333,0.46672971955090264,90.08,89.825,0.37501207415908233,91.7,91.17833333333333,0.655651343737287,89.88,88.97666666666667,0.4847933730759763,90.84,90.5275,1.8506082941889317,89.34,88.63833333333334,0.4790969713919159,9.8,9.871666666666666,,45.15,44.88166666666667,2.091152844320058,91.6,91.175,2.2747271559764237,9.8,9.871666666666666,,91.5,91.44833333333334,0.42272810172873354,91.87,91.46333333333334,0.5984365542286534,90.5,90.22666666666667,0.7495338207892135,91.46,90.92333333333333,0.581656813254296,91.29,91.02333333333333,0.7082625231923974,90.69,90.24166666666666,0.3892005525300583
86.34,86.97,2.156130536693763,91.03,90.595,1.3033278163067217,90.11,89.80666666666667,1.875755403885914,89.3,89.07,2.0260117859753786,91.83,91.46166666666667,1.922363268555846,90.57,90.35,0.6785089800619506,92.92,93.00333333333333,0.5916680049759193,91.08,90.84166666666667,0.3424885974633575,92.12,91.97833333333334,0.2722823469691251,90.71,90.53833333333333,0.4057269232911795,72.44,71.87333333333333,1.5323434066081738,83.61,76.83233333333334,1.1476867570898999,93.11,93.14833333333333,0.5651734335642756,92.16,91.445,0.6254461384352427,92.83,92.82,0.5122704050250214,90.18,89.91166666666666,0.37044661507398646,92.16,91.445,0.6254461384352427,89.97,89.12333333333333,0.45311755995470326,91.03,90.615,1.7356922962006944,89.43,88.67,0.4318432665776118,9.8,9.871666666666666,,46.36,46.23,2.121270151385442,91.83,91.46166666666667,1.922363268555846,9.8,9.871666666666666,,92.7,92.66333333333333,0.49768340126251115,92.37,91.925,0.4707906615086142,90.57,90.35,0.6807599298903231,91.36,90.96166666666667,0.6109052608971537,91.3,91.05666666666667,0.6481533901610588,90.76,90.35166666666667,0.3663899386723416
86.52,87.17,2.5462978767898896,91.01,90.62833333333333,1.2237069063480892,90.23,89.87666666666667,1.999011149104985,89.33,89.1,2.129126017755973,92.01,91.58666666666667,1.7379821389651624,90.62,90.37666666666667,0.6503545456380376,92.82,93.04666666666667,0.5909963262493025,91.17,90.88666666666667,0.32238167409012813,92.58,92.30833333333334,0.28784087578980005,90.83,90.52833333333334,0.4208309546047176,73.03,72.34333333333333,1.3619245566457014,83.37,76.75866666666667,1.2622510850990247,93.21,93.215,0.5184386949537776,92.18,91.67333333333333,0.6215969703079807,92.85,92.76333333333334,0.4148555831798691,90.17,89.90833333333333,0.3838594633708184,92.18,91.67333333333333,0.6215969703079807,89.99,89.12166666666667,0.36020145844354445,91.09,90.67,1.6713909516724934,89.45,88.71833333333333,0.40876635089239954,9.8,9.871666666666666,,46.68,46.461666666666666,2.0818059472342716,92.01,91.58666666666667,1.7379821389651624,9.8,9.871666666666666,,92.68,92.64,0.4788087602730142,92.38,91.96166666666667,0.6560734168229448,90.62,90.37666666666667,0.5477725585260549,91.51,91.09833333333333,0.5235191893666236,91.33,91.14333333333333,0.5136570098397647,90.78,90.37,0.36197199046815587
86.64,87.29,2.302009058228966,91.1,90.69833333333334,1.2792851842636506,90.29,89.95333333333333,1.7732396003891708,89.4,89.22,2.0780692531655514,92.07,91.68333333333334,1.4940074722361167,90.64,90.39333333333333,0.655118920531359,93.15,93.13833333333334,0.6361968061029157,91.12,90.95333333333333,0.45222868721423093,92.78,92.57166666666667,0.2399379449230891,90.85,90.54666666666667,0.42389819567897014,73.14,72.58,1.4064473099108274,83.51,76.828,1.234487793477507,93.07,93.255,0.6318167623082822,92.22,91.66833333333334,0.5482823512197835,92.81,92.65833333333333,0.45862055511303573,90.21,89.92,0.3700011700570435,92.22,91.66833333333334,0.5482823512197835,90.01,89.13,0.45299939090345137,91.15,90.7575,1.8217719590655008,89.49,88.75666666666666,0.477362480688237,9.8,9.871666666666666,,45.28,44.95,2.0546502381338683,92.07,91.68333333333334,1.4940074722361167,9.8,9.871666666666666,,92.84,92.76,0.4989419803127304,92.43,91.99833333333333,0.6265336912693029,90.64,90.39333333333333,0.6578725966292915,91.33,91.00833333333334,0.5264687344691179,91.38,91.17333333333333,0.6327392122483585,90.78,90.385,0.36130635414832096
86.82,87.39,2.4999743040928895,91.06,90.75166666666667,1.335641278752483,90.35,89.96666666666667,1.7470050598497116,89.53,89.285,1.9980123523320519,92.0,91.79833333333333,1.3734263657786594,90.64,90.40666666666667,0.6050411150010216,93.1,93.20333333333333,0.5904229504885632,91.18,90.995,0.35426127679465796,93.02,92.84,0.23972792875765045,90.87,90.56333333333333,0.39303590342390693,73.88,73.27,1.335049749123964,83.28,76.861,1.234942374340982,93.14,93.24833333333333,0.5482525417636128,92.24,91.73666666666666,0.5670935171820916,92.94,92.87833333333333,0.3964082683492724,90.19,89.93166666666667,0.28109018458434243,92.24,91.73666666666666,0.5670935171820916,90.02,89.12666666666667,0.34257217824984304,91.12,90.7475,1.6257462998702108,89.56,88.815,0.44028908109946086,9.8,9.871666666666666,,48.71,48.41833333333334,2.0923920463838477,92.0,91.79833333333333,1.3734263657786594,9.8,9.871666666666666,,92.78,92.78833333333333,0.4239858578591622,92.51,92.015,0.6144705343563202,90.64,90.40666666666667,0.6071552496347457,91.37,91.02666666666667,0.6451599624298971,91.51,91.24833333333333,0.582067814680723,90.8,90.39333333333333,0.3909465716690318
87.0,87.5,2.3605285271434804,91.11,90.75333333333333,1.2300955716553543,90.43,90.02333333333333,1.8067149454701268,89.5,89.38,1.9259847988714736,92.01,91.82166666666667,1.271716250839371,90.64,90.405,0.6678859958492644,92.91,93.25833333333334,0.5891355288991443,91.19,91.00166666666667,0.4803552770738769,92.98,93.03333333333333,0.23659372585753455,90.87,90.565,0.4069024651465759,74.3,73.61166666666666,1.3682999003390144,83.34,76.825,1.2553008147156672,93.29,93.39166666666667,0.6249014397119038,92.3,91.71166666666667,0.6317120720572766,92.88,92.835,0.447757078717599,90.19,89.93166666666667,0.40371614060351674,92.3,91.71166666666667,0.6317120720572766,90.02,89.12833333333333,0.4013826510500842,91.22,90.82,1.647277924754122,89.56,88.815,0.519461645354695,9.8,9.871666666666666,,47.89,47.64833333333333,2.028014346503545,92.01,91.82166666666667,1.271716250839371,9.8,9.871666666666666,,92.88,92.815,0.3874716473696896,92.51,92.05833333333334,0.6281185474742997,90.64,90.405,0.7663382495124655,91.5,91.05333333333333,0.48555314575830033,91.47,91.25,0.7374574976540124,90.8,90.39333333333333,0.3815134597241667
87.09,87.52,2.2659184780467294,91.1,90.77,1.2281528585993378,90.44,90.09666666666666,1.8290421975964897,89.57,89.33,2.1702756280575395,92.06,91.835,1.2786013897186383,90.65,90.40833333333333,0.638535799454094,93.01,93.28666666666666,0.5433021113932801,91.2,91.00333333333333,0.3263329025887133,93.07,93.13833333333334,0.26408937247662256,90.87,90.56666666666666,0.4072706378642636,74.66,74.01833333333333,1.3302894332013282,83.51,76.85633333333334,1.2266530517715257,93.38,93.53166666666667,0.5237200107816222,92.31,91.78166666666667,0.55877048569921,92.99,92.89,0.3929127495192608,90.2,89.93333333333334,0.3661187768767102,92.31,91.78166666666667,0.55877048569921,90.01,89.12666666666667,0.3042319746265542,91.19,90.845,1.6314837189035811,89.56,88.825,0.47302419966577486,9.8,9.871666666666666,,47.44,47.085,2.0421016916726784,92.06,91.835,1.2786013897186383,9.8,9.871666666666666,,92.85,92.845,0.3420729295547068,92.5,92.095,0.5628797565115041,90.65,90.40833333333333,0.7018450016983093,91.31,90.975,0.5695422833330788,91.51,91.245,0.6610364781787961,90.8,90.39333333333333,0.3262294959720924
